timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-16,147.4200,148.8400,147.1700,147.8650,147.8650,2658038,0.0000,1.0000
2020-01-15,146.4000,147.3950,146.2400,147.0100,147.0100,4960248,0.0000,1.0000
2020-01-14,145.0500,146.6100,144.7300,146.5200,146.5200,7037472,0.0000,1.0000
2020-01-13,145.4800,145.7900,144.7200,145.7000,145.7000,4593245,0.0000,1.0000
2020-01-10,145.7500,146.1800,144.9000,145.0600,145.0600,5042624,0.0000,1.0000
2020-01-09,145.7600,146.0300,144.9900,145.3900,145.3900,6112742,0.0000,1.0000
2020-01-08,144.8700,145.9800,143.7000,144.9600,144.9600,6605760,0.0000,1.0000
2020-01-07,144.0100,145.4500,141.3800,144.9800,144.9800,7385397,0.0000,1.0000
2020-01-06,144.0000,144.2000,142.8500,144.1000,144.1000,7730593,0.0000,1.0000
2020-01-03,143.5000,145.3730,143.0000,144.2800,144.2800,5752392,0.0000,1.0000
2020-01-02,145.8700,146.0200,145.0800,145.9700,145.9700,5776962,0.0000,1.0000
2019-12-31,145.1000,146.0100,144.7800,145.8700,145.8700,4434991,0.0000,1.0000
2019-12-30,145.7800,146.2000,145.0300,145.3000,145.3000,2923349,0.0000,1.0000
2019-12-27,146.2000,146.5500,145.5400,145.7500,145.7500,3432681,0.0000,1.0000
2019-12-26,145.9700,146.1827,145.1600,145.8300,145.8300,3019298,0.0000,1.0000
2019-12-24,146.0000,146.0100,145.2600,145.9300,145.9300,4238924,0.0000,1.0000
2019-12-23,145.7400,146.7600,145.3401,146.4400,146.4400,6558748,0.0000,1.0000
2019-12-20,146.8800,147.8400,144.8000,146.0600,146.0600,14482499,0.0000,1.0000
2019-12-19,143.8900,145.8800,143.6100,145.3500,145.3500,9414733,0.0000,1.0000
2019-12-18,143.7200,143.8800,142.7400,143.1900,143.1900,7141074,0.0000,1.0000
2019-12-17,143.0000,144.0500,142.5200,143.5600,143.5600,10720002,0.0000,1.0000
2019-12-16,141.7300,142.8500,141.4900,141.7900,141.7900,5352878,0.0000,1.0000
2019-12-13,141.1000,141.8000,140.3100,141.3800,141.3800,4257188,0.0000,1.0000
2019-12-12,141.3200,142.0600,140.7300,141.3400,141.3400,5011366,0.0000,1.0000
2019-12-11,140.9300,141.9800,140.6300,140.9800,140.9800,6498780,0.0000,1.0000
2019-12-10,140.8000,141.0000,139.9100,139.9900,139.9900,5310334,0.0000,1.0000
2019-12-09,140.3900,140.8100,140.0601,140.5000,140.5000,4240984,0.0000,1.0000
2019-12-06,139.4600,141.5800,139.4600,140.3800,140.3800,6640427,0.0000,1.0000
2019-12-05,139.3500,139.7450,137.9500,139.5600,139.5600,5472944,0.0000,1.0000
2019-12-04,138.5000,139.7400,138.0400,139.3800,139.3800,7257259,0.0000,1.0000
2019-12-03,136.9100,137.4500,136.1600,137.1600,137.1600,6414079,0.0000,1.0000
2019-12-02,137.7200,137.8500,136.8500,137.3600,137.3600,4717081,0.0000,1.0000
2019-11-29,137.6000,138.2700,136.9400,137.4900,137.4900,3278854,0.0000,1.0000
2019-11-27,137.1600,138.2500,136.9000,137.7500,137.7500,5522950,0.0000,1.0000
2019-11-26,136.4700,137.3400,135.1500,137.1700,137.1700,10643924,0.0000,1.0000
2019-11-25,137.0600,137.6500,136.2400,137.1800,137.1800,6111905,0.9500,1.0000
2019-11-22,136.6500,138.6300,136.5000,138.0700,137.1204,9235789,0.0000,1.0000
2019-11-21,135.9400,136.8500,135.0000,136.4400,135.5016,6424067,0.0000,1.0000
2019-11-20,135.1100,136.3400,134.0700,135.9400,135.0051,7594445,0.0000,1.0000
