timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-16,137.4500,137.9000,136.8400,137.3200,137.3200,5212232,0.0000,1.0000
2020-01-15,137.8500,138.6000,136.1500,136.7200,136.7200,16289273,0.0000,1.0000
2020-01-14,137.9400,140.7600,137.6900,138.8000,138.8000,24905963,0.0000,1.0000
2020-01-13,136.1900,137.2000,135.7550,137.2000,137.2000,12130754,0.0000,1.0000
2020-01-10,137.2100,137.2500,135.8100,136.0700,136.0700,10190307,0.0000,1.0000
2020-01-09,138.0500,138.2300,137.0400,137.4400,137.4400,9469028,0.0000,1.0000
2020-01-08,135.7000,137.5800,135.6000,136.9400,136.9400,9695164,0.0000,1.0000
2020-01-07,137.2800,137.8600,135.8200,135.8800,135.8800,10545115,0.0000,1.0000
2020-01-06,136.5600,138.2700,136.5000,138.2300,138.2300,10238065,0.0000,1.0000
2020-01-03,137.5000,139.2300,137.0800,138.3400,138.3400,10386627,0.9000,1.0000
2020-01-02,139.7900,141.1000,139.2650,141.0900,140.1780,10802713,0.0000,1.0000
2019-12-31,138.5100,139.4800,138.2950,139.4000,138.4990,7201567,0.0000,1.0000
2019-12-30,139.9000,140.0800,138.4700,138.6300,137.7339,6962744,0.0000,1.0000
2019-12-27,139.3000,139.7700,138.6697,139.1400,138.2406,7868174,0.0000,1.0000
2019-12-26,137.8900,139.1000,137.7800,139.0400,138.1413,6770873,0.0000,1.0000
2019-12-24,137.3300,137.6300,137.0641,137.5800,136.6907,3324291,0.0000,1.0000
2019-12-23,137.6000,137.9100,136.8800,137.2000,136.3132,9738389,0.0000,1.0000
2019-12-20,138.0200,138.8800,136.9000,137.2400,136.3529,29954604,0.0000,1.0000
2019-12-19,137.7600,138.2200,137.1000,137.3500,136.4622,9350387,0.0000,1.0000
2019-12-18,138.1500,139.0200,137.7151,138.0400,137.1478,10381310,0.0000,1.0000
2019-12-17,137.7300,138.6687,137.2300,138.1800,137.2869,11546590,0.0000,1.0000
2019-12-16,138.3800,138.8400,137.3200,137.3400,136.4523,11371373,0.0000,1.0000
2019-12-13,137.9500,138.8300,136.2200,136.8100,135.9257,10589082,0.0000,1.0000
2019-12-12,134.4900,138.4700,134.2100,138.0200,137.1279,13716565,0.0000,1.0000
2019-12-11,134.2900,135.0200,134.0100,134.1800,133.3127,8414899,0.0000,1.0000
2019-12-10,133.2500,134.7700,132.8800,134.5000,133.6306,7532859,0.0000,1.0000
2019-12-09,134.6300,135.4600,134.4100,134.4100,133.5412,8497729,0.0000,1.0000
2019-12-06,134.6900,135.7800,134.6500,135.0400,134.1671,10170616,0.0000,1.0000
2019-12-05,132.6800,133.3100,132.1800,133.0600,132.1999,9587358,0.0000,1.0000
2019-12-04,130.3800,132.4700,129.9900,132.3400,131.4846,10318220,0.0000,1.0000
2019-12-03,129.7700,129.9600,128.5850,129.7800,128.9411,10648459,0.0000,1.0000
2019-12-02,132.3100,132.7400,131.3500,131.4700,130.6202,8615615,0.0000,1.0000
2019-11-29,131.8700,132.4100,131.4500,131.7600,130.9083,5712035,0.0000,1.0000
2019-11-27,132.2900,132.4300,131.6500,132.0600,131.2064,6607522,0.0000,1.0000
2019-11-26,131.8200,131.8200,130.3573,131.6700,130.8189,10494979,0.0000,1.0000
2019-11-25,131.2500,132.0700,130.8650,131.4900,130.6401,10068496,0.0000,1.0000
2019-11-22,130.1500,131.2200,130.1000,130.7900,129.9446,8166883,0.0000,1.0000
2019-11-21,130.0000,130.7200,129.3900,129.9300,129.0902,7568586,0.0000,1.0000
2019-11-20,130.3000,130.6200,128.9400,129.6300,128.7921,11782789,0.0000,1.0000
2019-11-19,130.9900,131.2500,130.1800,130.5800,129.7360,8822987,0.0000,1.0000
2019-11-18,129.5600,130.6500,128.9900,130.6200,129.7757,8749271,0.0000,1.0000
2019-11-15,129.2300,129.5300,128.4000,129.5300,128.6928,10163564,0.0000,1.0000
2019-11-14,127.7200,128.8400,127.5900,128.6000,127.7688,8483395,0.0000,1.0000
2019-11-13,128.1300,128.8150,127.4200,128.4800,127.6495,8096654,0.0000,1.0000
