timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-16,343.5000,343.5550,335.8500,337.3600,337.3600,2924782,0.0000,1.0000
2020-01-15,338.6800,343.1700,336.6000,339.0700,339.0700,5068106,0.0000,1.0000
2020-01-14,344.4000,345.3800,335.5200,338.6900,338.6900,7201544,0.0000,1.0000
2020-01-13,331.8000,340.8500,331.5100,338.9200,338.9200,6216564,0.0000,1.0000
2020-01-10,337.1300,338.5000,327.2700,329.0500,329.0500,4720540,0.0000,1.0000
2020-01-09,342.0000,343.4196,334.6101,335.6600,335.6600,4717430,0.0000,1.0000
2020-01-08,331.4900,342.7000,331.0500,339.2600,339.2600,7109117,0.0000,1.0000
2020-01-07,336.4700,336.7000,330.3000,330.7500,330.7500,4742458,0.0000,1.0000
2020-01-06,323.1200,336.3600,321.2000,335.8300,335.8300,5668577,0.0000,1.0000
2020-01-03,326.7800,329.8599,325.5300,325.9000,325.9000,3795466,0.0000,1.0000
2020-01-02,326.1000,329.9800,324.7800,329.8100,329.8100,4348493,0.0000,1.0000
2019-12-31,322.0000,324.9160,321.0900,323.5700,323.5700,3714837,0.0000,1.0000
2019-12-30,329.0800,329.1850,322.8600,323.3100,323.3100,4315267,0.0000,1.0000
2019-12-27,332.9600,333.8200,326.0100,329.0900,329.0900,5037156,0.0000,1.0000
2019-12-26,334.6000,336.4623,332.0100,332.6300,332.6300,3595854,0.0000,1.0000
2019-12-24,334.0100,335.7000,331.6000,333.2000,333.2000,2019322,0.0000,1.0000
2019-12-23,337.7600,337.9500,331.0201,333.1000,333.1000,5767937,0.0000,1.0000
2019-12-20,335.0000,338.0000,330.6000,336.9000,336.9000,9923260,0.0000,1.0000
2019-12-19,324.5000,332.8300,324.1800,332.2200,332.2200,9833355,0.0000,1.0000
2019-12-18,316.2600,325.3600,315.6000,320.8000,320.8000,11210737,0.0000,1.0000
2019-12-17,307.3600,316.8000,306.6000,315.4800,315.4800,10437127,0.0000,1.0000
2019-12-16,300.8500,305.7100,298.6300,304.2100,304.2100,4660166,0.0000,1.0000
2019-12-13,298.5000,301.8000,297.2500,298.5000,298.5000,3883069,0.0000,1.0000
2019-12-12,295.6700,299.1650,295.0600,298.4400,298.4400,4771404,0.0000,1.0000
2019-12-11,294.4900,299.4300,294.2000,298.9300,298.9300,5607155,0.0000,1.0000
2019-12-10,296.1200,298.9400,292.0200,293.1200,293.1200,10481239,0.0000,1.0000
2019-12-09,307.3500,311.4900,302.4400,302.5000,302.5000,5766006,0.0000,1.0000
2019-12-06,304.7000,307.8495,302.6000,307.3500,307.3500,4459684,0.0000,1.0000
2019-12-05,305.2700,306.4800,298.8100,302.8600,302.8600,4618867,0.0000,1.0000
2019-12-04,308.4300,308.4300,303.2727,304.3200,304.3200,3513551,0.0000,1.0000
2019-12-03,302.2200,307.3600,301.8800,306.1600,306.1600,5272447,0.0000,1.0000
2019-12-02,314.3900,314.3900,303.7500,309.9900,309.9900,6223135,0.0000,1.0000
2019-11-29,315.7800,316.6200,313.3400,314.6600,314.6600,2411749,0.0000,1.0000
2019-11-27,313.9300,316.8200,312.7500,315.9300,315.9300,4100975,0.0000,1.0000
2019-11-26,315.0000,316.5000,311.6900,312.4900,312.4900,5328348,0.0000,1.0000
2019-11-25,308.8300,315.7300,305.2500,315.5500,315.5500,7878943,0.0000,1.0000
2019-11-22,309.1000,311.4000,304.4100,310.4800,310.4800,5970056,0.0000,1.0000
2019-11-21,306.0000,312.6900,304.2622,311.6900,311.6900,7488373,0.0000,1.0000
2019-11-20,301.0100,308.2500,301.0000,305.1600,305.1600,5115546,0.0000,1.0000
2019-11-19,304.0100,305.6699,298.5201,302.6000,302.6000,5919710,0.0000,1.0000
2019-11-18,296.0000,304.9900,293.2800,302.5700,302.5700,8621566,0.0000,1.0000
2019-11-15,290.5900,295.8186,287.5680,295.0300,295.0300,6337779,0.0000,1.0000
2019-11-14,283.2500,290.6300,283.2200,289.6200,289.6200,6539771,0.0000,1.0000
2019-11-13,291.0300,293.4100,281.1400,283.1100,283.1100,9233066,0.0000,1.0000
2019-11-12,295.3200,295.3450,288.7000,292.0100,292.0100,5774833,0.0000,1.0000
2019-11-11,289.1600,296.3600,288.5000,294.1800,294.1800,3945885,0.0000,1.0000
2019-11-08,288.7300,293.9900,287.5050,291.5700,291.5700,4509588,0.0000,1.0000
2019-11-07,290.7000,298.1900,288.2679,289.5700,289.5700,5928471,0.0000,1.0000
2019-11-06,288.1900,290.5600,285.8400,288.5900,288.5900,3438257,0.0000,1.0000
2019-11-05,289.9900,291.1900,286.3100,288.0300,288.0300,4062370,0.0000,1.0000
2019-11-04,288.0000,295.3900,287.1600,292.8600,292.8600,5566213,0.0000,1.0000
2019-11-01,288.7000,289.1200,283.0200,286.8100,286.8100,5594293,0.0000,1.0000
2019-10-31,291.0000,291.4500,284.7800,287.4100,287.4100,5090021,0.0000,1.0000
2019-10-30,284.3400,293.4900,283.0000,291.4500,291.4500,9345562,0.0000,1.0000
2019-10-29,281.8700,284.4100,277.5450,281.2100,281.2100,4356181,0.0000,1.0000
2019-10-28,278.0500,285.7500,277.3500,281.8600,281.8600,6172256,0.0000,1.0000
2019-10-25,270.6800,277.7700,270.1800,276.8200,276.8200,4747829,0.0000,1.0000
2019-10-24,271.8100,274.0200,268.8000,271.5000,271.5000,4911033,0.0000,1.0000
2019-10-23,268.0600,273.9200,266.6300,271.2700,271.2700,7154430,0.0000,1.0000
2019-10-22,271.1590,275.4100,265.8000,266.6900,266.6900,11865593,0.0000,1.0000
2019-10-21,272.8900,279.9399,269.0000,278.0500,278.0500,12599173,0.0000,1.0000
2019-10-18,289.3600,290.9000,273.3600,275.3000,275.3000,23212468,0.0000,1.0000
2019-10-17,304.4900,308.7500,288.3001,293.3500,293.3500,38462343,0.0000,1.0000
2019-10-16,283.1200,288.1700,280.7431,286.2800,286.2800,18413335,0.0000,1.0000
2019-10-15,283.8200,285.8700,279.4000,284.2500,284.2500,7728161,0.0000,1.0000
2019-10-14,283.9300,286.9300,282.0000,285.5300,285.5300,5543120,0.0000,1.0000
2019-10-11,284.8000,287.8700,275.8947,282.9300,282.9300,8817301,0.0000,1.0000
2019-10-10,265.9700,280.5300,265.0337,280.4800,280.4800,10961191,0.0000,1.0000
